Redmi 9,Xiaomi,64,107760,215760
Mi 11 Lite 5G,Xiaomi,128,323760,410760
Q60,LG,64,107760,203760
K41s,LG,32,95760,170760
Moto G9 Play,Motorola,64,107760,191760
Moto G20,Motorola,64,131760,203760
iPhone 11,Apple,64,539760,659760
iPhone 12 Pro Max,Apple,512,1463760,1559760
Galaxy S21+,Samsung,128,791760,971760
Galaxy A12,Samsung,128,143760,203760
